year,region,brand,model,count
2021,North America,Tesla,New Model S1,5000
2021,North America,Tesla,Base Model B3,15000
2021,North America,Tesla,Top Model S2,6000
2022,North America,Tesla,Base Model B3,3000
2022,North America,Tesla,Old Model S3,8000
2022,North America,Tesla,New Model B2,9000
2021,Europe,Tesla,New Model B2,9000
2022,Europe,Tesla,New Model B2,12000
2022,Europe,Tesla,New Model B2,7000
2021,Asia,Tesla,New Model B2,9000
2022,Asia,Tesla,New Model B2,11000
2022,Asia,Tesla,New Model B2,5000
